PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=15.3 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=15.7 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=15.5 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=15.2 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=19.2 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=15.9 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=15.5 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=15.9 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=15.7 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=17.9 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=16.3 ms
64 bytes from 10.0.0.7: icmp_seq=59 ttl=64 time=15.9 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=15.0 ms
64 bytes from 10.0.0.7: icmp_seq=61 ttl=64 time=15.4 ms
64 bytes from 10.0.0.7: icmp_seq=62 ttl=64 time=15.0 ms
64 bytes from 10.0.0.7: icmp_seq=63 ttl=64 time=15.2 ms
64 bytes from 10.0.0.7: icmp_seq=64 ttl=64 time=15.7 ms
64 bytes from 10.0.0.7: icmp_seq=65 ttl=64 time=24.7 ms
64 bytes from 10.0.0.7: icmp_seq=66 ttl=64 time=15.2 ms
64 bytes from 10.0.0.7: icmp_seq=67 ttl=64 time=15.4 ms
64 bytes from 10.0.0.7: icmp_seq=68 ttl=64 time=16.7 ms
64 bytes from 10.0.0.7: icmp_seq=69 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=70 ttl=64 time=15.5 ms
64 bytes from 10.0.0.7: icmp_seq=71 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=72 ttl=64 time=17.9 ms
64 bytes from 10.0.0.7: icmp_seq=73 ttl=64 time=17.0 ms
64 bytes from 10.0.0.7: icmp_seq=74 ttl=64 time=16.2 ms
64 bytes from 10.0.0.7: icmp_seq=75 ttl=64 time=17.2 ms
64 bytes from 10.0.0.7: icmp_seq=76 ttl=64 time=16.8 ms
64 bytes from 10.0.0.7: icmp_seq=77 ttl=64 time=16.5 ms
64 bytes from 10.0.0.7: icmp_seq=78 ttl=64 time=15.7 ms
64 bytes from 10.0.0.7: icmp_seq=80 ttl=64 time=16.8 ms

--- 10.0.0.7 ping statistics ---
80 packets transmitted, 73 received, 8% packet loss, time 79313ms
rtt min/avg/max/mdev = 15.023/78.332/2451.115/328.026 ms, pipe 3
